Order ID,Date,Store,Employee,Item,Category,Qty,Price,Discount,Voided,Refunded
2001,2026-08-25 12:05,Store #37,sarah@revcatcher.demo,Burger,Food,1,8.50,,,
2001,2026-08-25 12:05,Store #37,sarah@revcatcher.demo,Iced Tea,Beverage,1,2.50,,,
2002,2026-08-25 12:10,Store #37,kevin@revcatcher.demo,Chicken Sandwich,Food,1,9.00,,,
2003,2026-08-25 12:15,Store #37,ana@revcatcher.demo,Taco Bowl,Bowl,2,11.00,1.00,,
2003,2026-08-25 12:15,Store #37,ana@revcatcher.demo,Fountain Soda,Beverage,2,3.00,,,
2004,2026-08-25 12:20,Store #37,diego@revcatcher.demo,Salad,Food,1,7.50,,,
2004,2026-08-25 12:20,Store #37,diego@revcatcher.demo,Brownie,Dessert,1,3.50,,,
2005,2026-08-25 12:25,Store #37,priya@revcatcher.demo,Wrap,Food,1,8.00,,true,
2006,2026-08-25 12:30,Store #37,marcus@revcatcher.demo,Burger,Food,1,8.50,,,
2006,2026-08-25 12:30,Store #37,marcus@revcatcher.demo,Large Fries,Side,1,4.00,,,true
2007,2026-08-25 12:35,Store #52,jamal@revcatcher.demo,Pizza Slice,Food,2,12.00,,,
2007,2026-08-25 12:35,Store #52,jamal@revcatcher.demo,Cookie,Dessert,1,2.50,,,
